source,name,year,rank,round,date_of_birth,age,current_team,league,scouting_report,team_fit,likely_to_play,position,city,team,analysis
Base,Victor Soderstrom,2019,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matthew Boldy,2019,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Spencer Knight,2019,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cam York,2019,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cole Caufield,2019,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Alex Newhook,2019,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Peyton Krebs,2019,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Thomas Harley,2019,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Lassi Thomson,2019,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ville Heinola,2019,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Samuel Poulin,2019,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tobias Bjornfot,2019,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Simon Holmstrom,2019,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Phillip Tomasino,2019,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Connor McMichael,2019,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jakob Pelletier,2019,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nolan Foote,2019,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ryan Suzuki,2019,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brayden Tracey,2019,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,John Beecher,2019,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ryan Johnson,2019,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Alexis Lafreniere,2020,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Quinton Byfield,2020,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tim Stutzle,2020,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Lucas Raymond,2020,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jake Sanderson,2020,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jamie Drysdale,2020,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Alexander Holtz,2020,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jack Quinn,2020,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Marco Rossi,2020,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cole Perfetti,2020,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Yaroslav Askarov,2020,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Anton Lundell,2020,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Seth Jarvis,2020,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dylan Holloway,2020,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Rodion Amirov,2020,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kaiden Guhle,2020,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Lukas Reichel,2020,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dawson Mercer,2020,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Braden Schneider,2020,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Shakir Mukhamamadullin,2020,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Yegor Chinakhov,2020,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Hendrix Lapierre,2020,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tyson Foerster,2020,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Connor Zary,2020,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Justin Barron,2020,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jake Neighbours,2020,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jacob Perreault,2020,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ridly Greig,2020,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brendan Brisson,2020,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Mavrik Bourque,2020,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ozzy Wiesblatt,2020,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Owen Power,2021,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matthew Beniers,2021,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Mason McTavish,2021,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Luke Hughes,2021,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kent Johnson,2021,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Simon Edvinsson,2021,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,William Eklund,2021,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brandt Clarke,2021,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dylan Guenther,2021,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tyler Boucher,2021,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,-,2021,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cole Sillinger,2021,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matthew Coronato,2021,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Isak Rosen,2021,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Sebastian Cossa,2021,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brennan Othmann,2021,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zachary Bolduc,2021,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Chaz Lucius,2021,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Fyodor Svechkov,2021,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jesper Wallstedt,2021,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Fabian Lysell,2021,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Xavier Bourgault,2021,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Wyatt Johnston,2021,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Mackie Samoskevich,2021,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Corson Ceulemans,2021,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Carson Lambos,2021,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zachary LHeureux,2021,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Oskar Olausson,2021,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Chase Stillman,2021,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zach Dean,2021,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Logan Mailloux,2021,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nolan Allan,2021,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Juraj Slafkovsky,2022,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Simon Nemec,2022,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Logan Cooley,2022,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Shane Wright,2022,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cutter Gauthier,2022,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,David Jiricek,2022,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Kevin Korchinski,2022,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Marco Kasper,2022,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matthew Savoie,2022,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Pavel Mintyukov,2022,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Conor Geekie,2022,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Denton Mateychuk,2022,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Frank Nazar,2022,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Rutger McGroarty,2022,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jonathan Lekkerimaki,2022,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Noah Ostlund,2022,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Joakim Kemell,2022,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Lian Bichsel,2022,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Liam Ohgren,2022,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ivan Miroshnichenko,2022,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Owen Pickering,2022,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nathan Gaucher,2022,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jimmy Snuggerud,2022,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Danila Yurov,2022,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Sam Rinzel,2022,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Filip Mesar,2022,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Filip Bystedt,2022,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jiri Kulich,2022,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Maveric Lamoureux,2022,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brad Lambert,2022,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Isaac Howard,2022,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Reid Schaefer,2022,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Connor Bedard,2023,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Leo Carlsson,2023,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Adam Fantilli,2023,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Will Smith,2023,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,David Reinbacher,2023,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dmitriy Simashev,2023,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matvei Michkov,2023,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ryan Leonard,2023,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Nate Danielson,2023,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dalibor Dvorsky,2023,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tom Willander,2023,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Danil But,2023,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zach Benson,2023,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Brayden Yager,2023,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matthew Wood,2023,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Samuel Honzek,2023,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Axel SandinPellikka,2023,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Colby Barlow,2023,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Oliver Moore,2023,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Eduard Sale,2023,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Charlie Stramel,2023,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Oliver Bonk,2023,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Gabriel Perreault,2023,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tanner Molendyk,2023,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Otto Stenberg,2023,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Quentin Musty,2023,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Calum Ritchie,2023,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Easton Cowan,2023,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Theo Lindstein,2023,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Bradly Nadeau,2023,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Mikhail Gulyayev,2023,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,David Edstrom,2023,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Macklin Celebrini,2024,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Artyom Levshunov,2024,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Beckett Sennecke,2024,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cayden Lindstrom,2024,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ivan Demidov,2024,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Tij Iginla,2024,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Carter Yakemchuk,2024,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Berkly Catton,2024,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zayne Parekh,2024,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Anton Silayev,2024,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Sam Dickinson,2024,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Zeev Buium,2024,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Jett Luchanko,2024,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Konsta Helenius,2024,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Michael Brandsegg-Nygård,2024,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Adam Jiricek,2024,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Terik Parascak,2024,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Sacha Boisvert,2024,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Trevor Connelly,2024,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cole Eiserman,2024,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Michael Hage,2024,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Egor Surin,2024,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Stian Solberg,2024,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Cole Beaudoin,2024,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Dean Letourneau,2024,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Liam Greentree,2024,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Marek Vanacker,2024,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Matvei Gridin,2024,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Emil Hemming,2024,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,EJ Emery,2024,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Ben Danford,2024,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Base,Sam O'Reilly,2024,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESPN,Jack Hughes,2019,NA,NA,,18,USA U18,NTDP,"Hughes has such great burst and an effortless glide in his skating, and he uses his edges to create separation. He sees the ice and processes play development at an elite level. Hughes is an expert at making plays in small areas, which is why his size is less of a bother. Although he definitely needs to continue adding muscle, Hughes is unafraid to go to the hard areas of the ice and protects himself well, thanks to his skating and anticipation skills. He takes care of his own end and uses those anticipation skills to cut down passing lanes, but his defense needs improvement. I have yet to watch a game in which he didn't drive play, shift in and shift out. -- Peters Team fit: Hughes gives the Devils two young centers around whom to build. He joins 20-year-old Nico Hischier, taken first overall in 2017, to form a formidable one-two punch. His arrival gives the franchise some clear direction, which will be vital if the Devils are to re-sign 2018 Hart Trophy winner Taylor Hall before next summer's unrestricted free agency. -- Wyshynski",,NHL (Devils),NA,NA,NA,NA
